zcta19,year,avg_download_speed,avg_upload_speed,tot_hs_providers,res_hs_providers
32072,2020,50.76385,2.719825,1,1
32073,2020,167.6069,37.11506,2,2
32079,2020,57.0597,19.08842,1,1
32080,2020,156.7309,31.774,2,2
32081,2020,170.9806,67.42522,2,2
32082,2020,147.3876,37.52704,2,2
32083,2020,46.5873,10.49861,0,0
32084,2020,168.2726,34.93433,2,2
32086,2020,160.1976,32.364,2,2
32087,2020,85.93795,3.960356,1,1
32091,2020,118.7323,5.509663,2,2
32092,2020,164.4116,69.54447,2,2
32094,2020,46.56115,15.08708,0,0
32095,2020,179.174,73.74725,3,3
32096,2020,48.4451,13.60371,1,1
32097,2020,197.199,82.96522,3,3
32102,2020,44.40366,5.28212,0,0
32110,2020,144.0674,7.51474,2,2
32112,2020,76.86459,17.12917,2,2
32113,2020,49.2149,30.88299,1,1
32114,2020,183.2632,29.83211,5,5
32117,2020,181.9648,21.61522,3,3
32118,2020,174.4121,20.10006,2,2
32119,2020,176.578,16.88349,3,3
32124,2020,177.2405,39.26276,2,2
32127,2020,168.9855,15.60637,2,2
32128,2020,204.2166,51.67498,3,3
32129,2020,186.6669,26.47025,3,3
32130,2020,151.0956,14.36914,1,1
32131,2020,134.1396,7.339108,1,1
32132,2020,176.1547,18.10786,2,2
32133,2020,117.4839,9.573161,1,1
32134,2020,102.9276,9.388496,2,2
32136,2020,194.0925,24.51698,2,2
32137,2020,206.7757,20.46369,3,3
32139,2020,90.26756,8.354488,1,1
32140,2020,50.89697,17.15723,2,2
32141,2020,182.0254,23.48171,2,2
32145,2020,43.0521,31.07386,1,1
32147,2020,128.1019,6.194,1,1
32148,2020,136.125,16.90171,2,2
32157,2020,21.05767,2.930292,0,0
32159,2020,179.1208,22.0574,3,3
32162,2020,215.2007,47.69493,4,4
32164,2020,199.6112,12.71991,3,3
32168,2020,181.909,30.86463,2,2
32169,2020,163.7422,20.55386,3,3
32174,2020,180.9043,30.39632,2,2
32176,2020,168.1859,24.43221,3,3
32177,2020,129.7204,6.871794,2,2
32179,2020,150.6936,6.439747,2,2
32180,2020,41.06991,12.81959,1,1
32181,2020,34.12126,2.354838,1,1
32187,2020,146.6672,6.585288,1,1
32189,2020,152.204,6.688257,1,1
32190,2020,40.38744,12.81241,0,0
32193,2020,155.7835,6.412107,1,1
32195,2020,156.6223,9.941672,2,2
32202,2020,126.3915,23.37428,2,2
32204,2020,144.6733,31.87538,2,2
32205,2020,213.1547,84.14742,2,2
32206,2020,206.3675,70.34467,2,2
32207,2020,166.1892,39.84686,2,2
32208,2020,219.7623,83.38766,2,2
32209,2020,207.809,70.47746,2,2
32210,2020,195.3599,58.80865,3,3
32211,2020,183.689,49.68076,3,3
32212,2020,90.35547,16.74802,2,2
32216,2020,197.8351,60.69884,2,2
32217,2020,175.2851,37.71523,2,2
32218,2020,190.1061,66.95138,3,3
32219,2020,179.627,42.57457,2,2
32220,2020,152.9233,20.57258,2,2
