GEO_ID,NAME,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,
860Z200US36117,ZCTA5 36117,695,207,264,136,93,97,15,18,42,37,114,78,431,120,34,29,25,36,112,75,260,118,
860Z200US36130,ZCTA5 36130,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36201,ZCTA5 36201,135,88,68,56,20,29,8,13,40,45,0,20,67,54,18,26,28,33,11,18,10,30,
860Z200US36203,ZCTA5 36203,831,303,503,219,110,82,262,215,52,58,79,83,328,134,161,96,99,70,29,32,39,40,
860Z200US36205,ZCTA5 36205,15,29,15,29,0,13,15,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36206,ZCTA5 36206,203,123,96,80,64,69,32,36,0,20,0,20,107,71,78,63,7,13,13,20,9,13,
860Z200US36207,ZCTA5 36207,366,175,191,135,36,33,8,25,127,129,20,27,175,111,45,44,23,27,48,56,59,69,
860Z200US36250,ZCTA5 36250,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36251,ZCTA5 36251,177,94,105,68,0,18,32,34,73,59,0,18,72,59,21,25,23,37,27,35,1,3,
860Z200US36255,ZCTA5 36255,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36256,ZCTA5 36256,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36258,ZCTA5 36258,7,15,5,11,3,6,2,6,0,13,0,13,2,4,2,4,0,13,0,13,0,13,
860Z200US36260,ZCTA5 36260,173,188,74,94,59,87,15,26,0,13,0,13,99,99,82,95,13,22,0,13,4,7,
860Z200US36262,ZCTA5 36262,13,22,10,20,3,7,7,20,0,13,0,13,3,7,3,7,0,13,0,13,0,13,
860Z200US36263,ZCTA5 36263,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36264,ZCTA5 36264,154,75,74,38,22,33,31,38,21,19,0,18,80,51,17,30,32,33,25,29,6,9,
860Z200US36265,ZCTA5 36265,265,141,135,82,20,30,26,28,58,44,31,53,130,94,23,32,41,38,51,78,15,24,
860Z200US36266,ZCTA5 36266,96,81,81,66,0,18,81,66,0,18,0,18,15,23,15,23,0,18,0,18,0,18,
860Z200US36267,ZCTA5 36267,16,41,16,41,0,13,16,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
